,description,img_url,link,price_today,page_number,price_before
0,Teclado bluetooth Logitech Master Series MX Keys QWERTY español España color grafito con luz blanca,https://http2.mlstatic.com/D_NQ_NP_882215-MLA52149106951_102022-V.jpg,https://www.mercadolibre.com.co/teclado-bluetooth-logitech-master-series-mx-keys-qwerty-espanol-espana-color-grafito-con-luz-blanca/p/MCO15802957?pdp_filters=category:MCO418448#searchVariation=MCO15802957&position=1&search_layout=stack&type=product&tracking_id=7668fa5f-de58-46c4-81fa-a7b260563e53,527999.0,1,
1,Teclado inalámbrico Logitech K230 QWERTY español color negro,https://http2.mlstatic.com/D_NQ_NP_751407-MLA45319985858_032021-V.jpg,https://www.mercadolibre.com.co/teclado-inalambrico-logitech-k230-qwerty-espanol-color-negro/p/MCO7177538?pdp_filters=category:MCO418448#searchVariation=MCO7177538&position=2&search_layout=stack&type=product&tracking_id=7668fa5f-de58-46c4-81fa-a7b260563e53,70000.0,1,
2,Teclado inalámbrico Logitech K230 QWERTY español latinoamérica color negro,https://http2.mlstatic.com/D_NQ_NP_949159-MLA45319985860_032021-V.jpg,https://www.mercadolibre.com.co/teclado-inalambrico-logitech-k230-qwerty-espanol-latinoamerica-color-negro/p/MCO7177551?pdp_filters=category:MCO418448#searchVariation=MCO7177551&position=3&search_layout=stack&type=product&tracking_id=7668fa5f-de58-46c4-81fa-a7b260563e53,70000.0,1,
3,Teclado gamer Logitech Serie G Prodigy G213 QWERTY inglés internacional color negro con luz RGB,https://http2.mlstatic.com/D_NQ_NP_662271-MLA45319492081_032021-V.jpg,https://www.mercadolibre.com.co/teclado-gamer-logitech-serie-g-prodigy-g213-qwerty-ingles-internacional-color-negro-con-luz-rgb/p/MCO9342339?pdp_filters=category:MCO418448#searchVariation=MCO9342339&position=4&search_layout=stack&type=product&tracking_id=7668fa5f-de58-46c4-81fa-a7b260563e53,255000.0,1,
4,Teclado bluetooth Logitech Master Series MX Keys Mini QWERTY español España color grafito con luz blanca,https://http2.mlstatic.com/D_NQ_NP_823822-MLA52218529446_102022-V.jpg,https://www.mercadolibre.com.co/teclado-bluetooth-logitech-master-series-mx-keys-mini-qwerty-espanol-espana-color-grafito-con-luz-blanca/p/MCO18931571?pdp_filters=category:MCO418448#searchVariation=MCO18931571&position=5&search_layout=stack&type=product&tracking_id=7668fa5f-de58-46c4-81fa-a7b260563e53,449900.0,1,
5,Teclado gamer bluetooth Logitech Serie G G613 QWERTY Romer-G Tactile inglés US color negro,https://http2.mlstatic.com/D_NQ_NP_702483-MLA45315966340_032021-V.jpg,https://www.mercadolibre.com.co/teclado-gamer-bluetooth-logitech-serie-g-g613-qwerty-romer-g-tactile-ingles-us-color-negro/p/MCO15800677?pdp_filters=category:MCO418448#searchVariation=MCO15800677&position=6&search_layout=stack&type=product&tracking_id=7668fa5f-de58-46c4-81fa-a7b260563e53,379000.0,1,
6,Teclado gamer bluetooth Logitech Serie G G915 QWERTY GL Tactile inglés US color negro con luz RGB,https://http2.mlstatic.com/D_NQ_NP_854542-MLA45317849007_032021-V.jpg,https://www.mercadolibre.com.co/teclado-gamer-bluetooth-logitech-serie-g-g915-qwerty-gl-tactile-ingles-us-color-negro-con-luz-rgb/p/MCO15294768?pdp_filters=category:MCO418448#searchVariation=MCO15294768&position=7&search_layout=stack&type=product&tracking_id=7668fa5f-de58-46c4-81fa-a7b260563e53,901210.0,1,989000.0
7,"Logitech G915 Tkl, Teclado Gamer Mecánico Inalámbrico",https://http2.mlstatic.com/D_NQ_NP_661770-MCO49295288139_032022-V.jpg,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=leAkR7qUxJeLiHI%2BwszPyE3IqkPVeymuaWGqPAlfn1dY5gn8Q6uBPahlAzVBLC1j1sX5VRlaY7o5IA1hPcGEXloc%2FYOJ3xcXct7MHl7ga%2BaIjrSbsPLS%2FjLWbgu0k1Tsalwy7kr3wOXNB8bNcoDTNlZOD6ygz2GhPgf9SbeClAykrJnrKMirwQuiSAPSg5WsE%2BY7FxLPcIskiMIW%2BXxMbTiA%2FspDzeQFtkTq6P6ldAqGwy666Gp5gW9bMK1VnM24meyUH7VGvdVXt8Sk%2BcH%2FoPd2%2B7Ol4L%2F8aiRW1nrCfd1r2uHdID0Th%2FfuC1etwKHhgzFoiwj8a74Tx1gMAtNG%2F2AwOZyYePcOKG7lfEI8sXyFu%2BQpA%2BYsYswUR8ON0yM9D3E5g2QkCxv8is8EcL3pxS2s41LdpBQRIe1nITO9QgE6poOwUa0aiJ1nn4mIE4dcIzdE61xUkJQqIY40K40E2oKq2gcyQeKwugCBfhsICoYvMTeeQzivTA9y2rJBPqB4RGA9S%2BvlCk2lBDTn%2B04X76dKobkSp6iBW723Eemmko8EyiXoWv8%2B3lNIyedjNpyrFI2P2iLKhAc%2BNpOtKp665uoUe6xFVOGXGjnUvmPC31TPUKZ0p%2Bm9G%2Fja1kdTfGCuNLZFmxkG%2BSpxORZfRr6GBzCqtgDy%2F4Ma5dFtl%2Fr7XvBJ%2FLTtw%2BjBxg%3D%3D&rb=x,957900.0,1,
8,Logitech G815 Teclado Gamer Mecánico Ultrafino Lightsync Rgb,https://http2.mlstatic.com/D_NQ_NP_956519-MCO49295123894_032022-V.jpg,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=QpaMEMszxLYIBsDYJKl6ysaBb1VjR8bspRkfAfMl7QtOWc6aW0LEctstopZDgEnqJxTAT7VgGrJN5NTj20fZX%2Fy50j4Z9uZ13RBjbABglpHJQUx4dZi%2FQsOlJ0ogfIDgJIPvY15DAgUkcO6dnMZaFZJL8xLFCnOXdKQD7O4mG%2FU%2FpZ9iQ4ecZmX%2FFySwzsKCv8U%2Fo8mDlVf99sFr%2FJPwY5quKdF9pL03r8t1Ulfh94SU0dcIqN7lP9NrutB%2BiINPKTxU3hkMfxydqB4smelLk8k%2B7evFx0egKgISAqk3eAlc7WJuAaAaQv%2FC%2F%2FfGCtf6qeiC5VC06vEojWNLfHoCSJQDJeTsM5Zv%2Bhuj6q8z2nxOhhJzJmfQu69rghn3suCKquHYHkHoG6iT%2F0WYqf3pazxA2pX6iA%2BJEV%2F3gqnouvAs1lAP9k7hxttUGwZfsUMsMzlrEIFYc5lH0nBTh51I6jENJTGRRgoNzBM8sJNGWTJ%2Fg3O%2Bi8uQuHmP7VHKWopYgq3R%2BN0N1qn%2BcA82z1FOWzA%2BnOPVpK0Mdo6k3s8yKIyhAjTuNF5UAF3PRO8rcPm51aUzkaPxW9krr09wi7fxFx9eFsmBC40NGh45g0J3n5HmPPSuUtAOmRMY5oWKZordn7cuGl8YS2DL%2Bb2b%2Fge7OBhjWo8fmkmlVEybBfGe3cdfnwa7FHqFDX7NoECTHw%3D%3D&rb=x,757900.0,1,
9,Teclado Logitech K835 TKL QWERTY GL Blue Clicky español España color negro,https://http2.mlstatic.com/D_NQ_NP_788865-MLA46516796394_062021-V.jpg,https://www.mercadolibre.com.co/teclado-logitech-k835-tkl-qwerty-gl-blue-clicky-espanol-espana-color-negro/p/MCO17497012?pdp_filters=category:MCO418448#searchVariation=MCO17497012&position=10&search_layout=stack&type=product&tracking_id=7668fa5f-de58-46c4-81fa-a7b260563e53,249900.0,1,
10,Teclado gamer Logitech Serie G Prodigy G213 QWERTY inglés US color negro con luz RGB,https://http2.mlstatic.com/D_NQ_NP_814217-MLA45319446600_032021-V.jpg,https://www.mercadolibre.com.co/teclado-gamer-logitech-serie-g-prodigy-g213-qwerty-ingles-us-color-negro-con-luz-rgb/p/MCO8906508?pdp_filters=category:MCO418448#searchVariation=MCO8906508&position=11&search_layout=stack&type=product&tracking_id=7668fa5f-de58-46c4-81fa-a7b260563e53,239900.0,1,
11,Teclado gamer bluetooth Logitech Serie G G915 TKL QWERTY GL Tactile inglés color carbón con luz RGB,https://http2.mlstatic.com/D_NQ_NP_664126-MLA45324999930_032021-V.jpg,https://www.mercadolibre.com.co/teclado-gamer-bluetooth-logitech-serie-g-g915-tkl-qwerty-gl-tactile-ingles-color-carbon-con-luz-rgb/p/MCO16085681?pdp_filters=category:MCO418448#searchVariation=MCO16085681&position=12&search_layout=stack&type=product&tracking_id=7668fa5f-de58-46c4-81fa-a7b260563e53,909900.0,1,
12,Teclado bluetooth Logitech Pop Keys QWERTY Logitech Brown color daydream,https://http2.mlstatic.com/D_NQ_NP_973053-MLA50045068236_052022-V.jpg,https://www.mercadolibre.com.co/teclado-bluetooth-logitech-pop-keys-qwerty-logitech-brown-color-daydream/p/MCO19120152?pdp_filters=category:MCO418448#searchVariation=MCO19120152&position=13&search_layout=stack&type=product&tracking_id=7668fa5f-de58-46c4-81fa-a7b260563e53,416794.0,1,454000.0
13,Teclado bluetooth Logitech Pop Keys QWERTY Logitech Brown color blast,https://http2.mlstatic.com/D_NQ_NP_892908-MLA50045198770_052022-V.jpg,https://www.mercadolibre.com.co/teclado-bluetooth-logitech-pop-keys-qwerty-logitech-brown-color-blast/p/MCO19120153?pdp_filters=category:MCO418448#searchVariation=MCO19120153&position=14&search_layout=stack&type=product&tracking_id=7668fa5f-de58-46c4-81fa-a7b260563e53,424838.0,1,454000.0
14,Teclado gamer Logitech Pro Series G Pro QWERTY GX Blue Clicky inglés US color negro con luz RGB,https://http2.mlstatic.com/D_NQ_NP_711892-MLA43976550810_112020-V.jpg,https://www.mercadolibre.com.co/teclado-gamer-logitech-pro-series-g-pro-qwerty-gx-blue-clicky-ingles-us-color-negro-con-luz-rgb/p/MCO12866734?pdp_filters=category:MCO418448#searchVariation=MCO12866734&position=15&search_layout=stack&type=product&tracking_id=7668fa5f-de58-46c4-81fa-a7b260563e53,545900.0,1,
15,Teclado Logitech K835 TKL QWERTY Logitech Red Linear inglés US color negro,https://http2.mlstatic.com/D_NQ_NP_632619-MLA46516828284_062021-V.jpg,https://www.mercadolibre.com.co/teclado-logitech-k835-tkl-qwerty-logitech-red-linear-ingles-us-color-negro/p/MCO17497011?pdp_filters=category:MCO418448#searchVariation=MCO17497011&position=16&search_layout=stack&type=product&tracking_id=7668fa5f-de58-46c4-81fa-a7b260563e53,243796.0,1,
16,Teclado bluetooth Logitech Master Series MX Keys Mini QWERTY español España color rosa con luz blanca,https://http2.mlstatic.com/D_NQ_NP_729362-MLA52223384257_102022-V.jpg,https://www.mercadolibre.com.co/teclado-bluetooth-logitech-master-series-mx-keys-mini-qwerty-espanol-espana-color-rosa-con-luz-blanca/p/MCO18931573?pdp_filters=category:MCO418448#searchVariation=MCO18931573&position=17&search_layout=stack&type=product&tracking_id=7668fa5f-de58-46c4-81fa-a7b260563e53,407900.0,1,
17,Teclado bluetooth Logitech Pop Keys QWERTY Logitech Brown color heartbreaker,https://http2.mlstatic.com/D_NQ_NP_817918-MLA50045983172_052022-V.jpg,https://www.mercadolibre.com.co/teclado-bluetooth-logitech-pop-keys-qwerty-logitech-brown-color-heartbreaker/p/MCO19120154?pdp_filters=category:MCO418448#searchVariation=MCO19120154&position=18&search_layout=stack&type=product&tracking_id=7668fa5f-de58-46c4-81fa-a7b260563e53,425432.0,1,454000.0
